FoodName,LinkDrive,TheDescription,YoutubeLink,Calories,Protein,Fats,Carbs
three cup chicken,https://drive.google.com/file/d/1-g7eI9KMbnVZs8ufXx3QB8DL4ZvHeoZv/view?usp=sharing,"iterally “three-cup chicken,” for the plentiful sesame oil, soy sauce and rice wine it contains—is one of Taiwan's most beloved dishes for a good reason. Something magical happens when you combine sesame oil, soy sauce, rice wine, garlic, ginger, basil, and chicken",https://www.youtube.com/watch?v=pETnrudTSkw,491,24,2,41
toast,https://drive.google.com/file/d/1pSBR8VszrL52TyxuDJJtE5ylSTxCKC_K/view?usp=sharing, sliced bread that has been browned by radiant heat. The browning is the result of a Maillard reaction altering the flavor of the bread and making it firmer. The firm surface is easier to spread toppings on and the warmth can help butter reach its melting point,https://www.youtube.com/watch?v=KztOPnD-P_E,420,1,7,30
udon noodle,https://drive.google.com/file/d/180X8xcN_d4OGKanMHTXtbnGBYJmIjzmm/view?usp=sharing,"is a thick noodle made from wheat flour, used in Japanese cuisine. There is a variety of ways it is prepared and served",https://www.youtube.com/watch?v=oIlZUDVMjEw,426,21,2,56
winter melon soup,https://drive.google.com/file/d/1kj_3yGY8_qou8G5LTdbTLZaBrDOHvyZB/view?usp=sharing," is a popular home-cooked Chinese dish when winter melons are in season (late summer through fall). It's also probably the most popular application of winter melon in China. Winter melon soups are often made with pork ribs, meatballs, and seafood like shrimp and clams",https://www.youtube.com/watch?v=271BRWYKYMI,392,12,10,30
zha jiang mian,https://drive.google.com/file/d/11U-kBP7bbnDnb3oyZ99QEKdtXBYrmJEA/view?usp=sharing,"is typically made with a deep-roasted black bean sauce, while the Beijing-style zhajiangmian is traditionally made with sweet bean sauce and/or soybean sauce (although there are variations here as well)",https://www.youtube.com/watch?v=JWdVXiu5ygo,487,17,7,59
Caesar salad,https://drive.google.com/file/d/1KMikV1xLivaV7pBGr1Jgk-2RvX587PlB/view?usp=sharing,"(also spelled Cesar, César and Cesare) is a green salad of romaine lettuce and croutons dressed with lemon juice (or lime juice), olive oil, eggs or egg yolks, Worcestershire sauce, anchovies, garlic, Dijon mustard, Parmesan cheese, and black pepper.",https://www.youtube.com/shorts/YfS_dOOiong,402,18,7,45
apple pie,https://drive.google.com/file/d/1rU7mDiUMBAhwgzgiZhwtjqH0j5v2F6ZO/view?usp=sharing,"is a pie in which the principal filling is apples. Apple pie is often served with whipped cream, ice cream custard or cheddar cheese",https://www.youtube.com/watch?v=PzFo8G6YNz0,436,24,1,64
cream puff,https://drive.google.com/file/d/1mTtJ9feZTeXmQMtpYx52GYNfPMqsvEKs/view?usp=sharing,"a round shell of light pastry filled with whipped cream or a cream filling ,an ineffectual person",https://www.youtube.com/watch?v=e2_1g2WscTQ,308,20,7,36
doughnut,https://drive.google.com/file/d/1wFtEukiTB29MYzL4zJLBOZWmyWfWBGv1/view?usp=sharing,is a type of pastry made from leavened fried dough. It is popular in many countries and is prepared in various forms as a sweet ,https://www.youtube.com/watch?v=KE1eVR-xyHE,423,9,6,60
fried pork dumplings served in soup,https://drive.google.com/file/d/1XnemRNOCWBbGCjPYoCAXkHf4ru4wgK2_/view?usp=sharing,"Xiao Long Bao (XLB), or soup dumplings, are probably the most famous of Shangai's steamed dumplings, and rightly so. These are delicately pleated balls of dough with broth and pork meat filling. Yes - they don't float in the soup. Instead, they encase the yummy warm broth inside the dough wrapper",https://www.youtube.com/watch?v=_qcPIOlr7Uo,327,18,8,35
lasagna,https://drive.google.com/file/d/1tVeAt4v7v7xoviHH-hFej90DNlBxclzX/view?usp=sharing,"is a type of pasta, possibly one of the oldest types,[2] made in very wide, flat sheets. The same-named Italian dish is made of stacked layers of lasagna alternating with fillings such as ragù (ground meats and tomato sauce), béchamel sauce, vegetables, cheeses (which may include ricotta, mozzarella, and Parmesan), and seasonings and spices",https://www.youtube.com/watch?v=QZloaLmvSP0,366,24,3,38
muffin,https://drive.google.com/file/d/1VH1wUv0jog6ifT1Ojp7RN7oRCFc5N5R7/view?usp=sharing," is an individually portioned baked product; however, the term can refer to one of two distinct items: a part-raised flatbread (like a crumpet) that is baked and then cooked on a griddle (typically unsweetened), or a (often sweetened) quickbread that is chemically leavened and then baked in a mold.",https://www.youtube.com/watch?v=eer8Yjuh7go,442,5,7,59
oatmeal,https://drive.google.com/file/d/1xvt6h4UMOskkCtB_mOsq90NewlieSS62/view?usp=sharing,"is a preparation of oats that have been de-husked, steamed, and flattened, or a coarse flour of hulled oat grains (groats) that have either been milled (ground), rolled, or steel-cut. Ground oats are also called white oats. Steel-cut oats are known as coarse oatmeal, Irish oatmeal, or pinhead oats.",https://www.youtube.com/watch?v=Q2Rq8AXv0Bs,323,6,1,32
oshiruko,https://drive.google.com/file/d/1RiB_utcQ6pBvNnMm2GhRf9r0-9xw4ibE/view?usp=sharing," is a traditional Japanese dessert soup made with sweet azuki beans and mochi (rice cake). Many people enjoy this wintertime treat, featuring warm, slightly sweet, and earthy flavors. Vending machines offer oshiruko as a sweet red bean drink.",https://www.youtube.com/watch?v=zJl76WTwVnA,321,2,6,56
parfait,https://drive.google.com/file/d/1KgidDQAo4B7212n4HviJ0XvCQ6clhYi-/view?usp=sharing,"is either of two types of dessert. In France, where the dish originated, parfait is made by boiling cream, egg, sugar and syrup to create a custard-like or meringue-like puree which is then frozen. The American version consists of layers differentiated by the inclusion of such ingredients as granola, nuts, yogurt and liqueurs, topped off with fruits or whipped cream",https://www.youtube.com/watch?v=WP6PmNrVqtg,300,22,7,31
popcorn,https://drive.google.com/file/d/1X6A0HKLmVWRGROP63FPgZsbyzoRTpI01/view?usp=sharing, is a variety of corn kernel which expands and puffs up when heated; the same names also refer to the foodstuff produced by the expansion. Popcorn,https://www.youtube.com/watch?v=WZpK-M7wKVk,268,11,6,70
rice gratin,https://drive.google.com/file/d/1UnLb8TT_oZWzlf7tw8aj4Nu5zQQdLGrH/view?usp=sharing,"is a delicious and comforting dish that combines the flavors of rice, vegetables, and cheese. It is a versatile recipe that can be customized with your favorite ingredients. The dish is baked until the cheese is melted and golden, creating a crispy and creamy texture.",https://www.youtube.com/watch?v=SY6z77-_IZM,380,19,5,49
Chinese soup,https://drive.google.com/file/d/1sxqgAS_H5URLj_aL_BAtQzMZzzlniOJi/view?usp=sharing,is a vegetable soup originated by Teochew people. It was developed during the final year of China's Song dynasty as an improvisational dish.,https://www.youtube.com/watch?v=Cv0VvyKBtP0,349,11,2,65
French fries,https://drive.google.com/file/d/1r_XAMnuePiPYSmdqEOwyk5Xuk-82RcAT/view?usp=sharing," They are prepared by cutting potatoes into even strips, drying them, and frying them, usually in a deep fryer. Pre-cut, blanched, and frozen russet potatoes are widely used, and sometimes baked in a regular or convection oven; air fryers are small convection ovens marketed for frying potatoes.",https://www.youtube.com/watch?v=RRnut6oIyDQ,424,18,7,56
Japanese tofu and vegetable chowder,https://drive.google.com/file/d/135CH8YhJdJhWuUNwT9y7al1cyNK1-KiX/view?usp=sharing,"is a clear soup cooked with root vegetables, tofu, shiitake, and kombu stock. It's a well-balanced and flavorful soup for a meatless meal on a cold night",https://www.youtube.com/watch?v=lKoMKc9LlDQ,227,24,9,38
Okinawa soba,https://drive.google.com/file/d/1oQ6o1w_qLEW0HCLPlRzTpt9x3TbjpmCh/view?usp=sharing,"is a hot noodle soup consisting of a specific type of chewy noodles made with flour, water, and egg (see more below). The soup is a combination of pork broth and katsuo dashi, filled with stewed pork belly slices, a few slices of fish cake, chopped green onion, and red pickled ginger.",https://www.youtube.com/watch?v=Y3gjNdnRSAs,282,4,4,59
almond jelly,https://drive.google.com/file/d/1LAVgznGcTd9H6StZBnP-gus3HCB5YpkH/view?usp=sharing,"is a soft, jellied dessert made of apricot kernel milk, agar, and sugar popular throughout East Asia. Almond Tofu. A bowl of almond tofu. Alternative names. almond tofu, almond jelly, almond ...",https://www.youtube.com/watch?v=7RjzmWzik7E,375,8,6,70
bagel,https://drive.google.com/file/d/110cgq21k-vsExVzqYuAjZah5j3o8raJ-/view?usp=sharing,is a bread roll originating in the Jewish communities of Poland. Bagels are traditionally made from yeasted wheat dough that is shaped by hand ,https://www.youtube.com/watch?v=1852bo8l6JE,332,11,1,64
beef bowl,https://drive.google.com/file/d/1mdHYYHlVRkRGr8RMr4Y5gvncpkK1O8Ws/view?usp=sharing,"is a Japanese dish consisting of a bowl of rice topped with beef and onion simmered in a mildly sweet sauce flavored with dashi (fish and seaweed stock), soy sauce and mirin (sweet rice wine)",https://www.youtube.com/watch?v=lIWMFbJSdTw,243,5,9,37
beef noodle soup,https://drive.google.com/file/d/1iCRU-rLL5gNJzQD9GrzLFJnWqJd0yOFg/view?usp=sharing," is a noodle soup made of stewed or braised beef, beef broth, vegetables and noodles. It exists in various forms throughout East and Southeast Asia.",https://www.youtube.com/watch?v=2DsDUCQQW3o,475,15,3,54
broiled eel bowl,https://drive.google.com/file/d/1AQ0tJT363SXft7bIHY6PRY3JjE7BkRYL/view?usp=sharing,"This is how the unagi-specialized chefs prepare the eels. Live eels are split down the back (or belly), gutted and boned, butterflied, and cut into square fillets. Then the fillets are skewered, dipped in a sweet soy-based sauce, and broiled on a charcoal grill.",https://www.youtube.com/watch?v=LuI1CVFWDQM,309,7,9,36
champon,https://drive.google.com/file/d/1chqONsevcEBoFZMcztq15yRfcnkUyi4f/view?usp=sharing,"is a rice dish where assorted vegetables, thinly-sliced meat (pork, luncheon meat or corned beef hash) and scrambled egg are fried",https://www.youtube.com/watch?v=na2CpDcm6DM,373,4,6,59
chicken cutlet,https://drive.google.com/file/d/1w9IALZvhQJbGJdepolf6RlOw9JftJZna/view?usp=sharing,is simply a boneless skinless chicken breast that has been cut in half horizontally. Sometimes they're pounded with a meat pounder to make them thinner and more even. Chicken breasts usually take about 15 minutes to cook through on the stove.,https://www.youtube.com/watch?v=1Saka-LY_hE,320,18,3,60
chicken nugget,https://drive.google.com/file/d/1C9i25Oz-O96l0wl7pwAAml2PLZdR7sge/view?usp=sharing," is a food product consisting of a small piece of deboned chicken meat that is breaded or battered, then deep-fried or baked.",https://www.youtube.com/watch?v=pbmb7aa-Grw,362,5,5,67
chop suey,https://drive.google.com/file/d/1J9gSXky8HkF-Yl2Qzl-jEx6po7x8OWEY/view?usp=sharing,"is a dish from American Chinese cuisine and other forms of overseas Chinese cuisine, generally consisting of meat (usually chicken, pork, beef, shrimp or fish) and eggs, cooked quickly with vegetables such as bean sprouts, cabbage, and celery, and bound in a starch-thickened ...",https://www.youtube.com/watch?v=CG5y96_QxMo,376,22,6,46
clear soup,https://drive.google.com/file/d/1CZxoSzxTRiUhlItXtKM5Fd4H4Zam5ROP/view?usp=sharing,"is a soup that is made by simmering veggies, & or meat in a liquid until all the flavors are released. These soups are clear and are great for those on a liquid diet. Clear soups are made without the addition of any spices, starch or any other flavoring ingredients.",https://www.youtube.com/watch?v=V6i2huxK_OQ,329,11,7,32
crape,https://drive.google.com/file/d/1o2_g6ufbNUQx8_uDmD9r4xt-UgnhwHM2/view?usp=sharing, is a dish made from unleavened batter or dough that is cooked on a frying pan or a griddle. Crêpes are usually one of two varieties: sweet crêpes (crêpes sucrées) or savoury galettes (crêpes salées),https://www.youtube.com/watch?v=DiFXFeOU1nI,207,12,7,65
custard tart,https://drive.google.com/file/d/1l7GCAuqOipim8cXkY5iH_M4lK3hiDCa4/view?usp=sharing, a baked pastry consisting of an outer pastry crust filled with egg custard,https://www.youtube.com/watch?v=g5pOUgU3XBo,477,19,6,42
cutlet curry,https://drive.google.com/file/d/18Si8JwFKaWr6zx7if7FzsfbTNnZslA8w/view?usp=sharing,"is a Japanese dish consisting of a pork cutlet (tonkatsu) served with a portion of Japanese rice and curry. It is served on a large plate and is typically eaten using a spoon or fork. The cutlet is usually precut into strips, eliminating the need for a knife",https://www.youtube.com/watch?v=bLvQutBaaac,309,6,1,57
dak galbi,https://drive.google.com/file/d/1PTonbCo3gyNREVdohGv2dTfI7AE2Y4id/view?usp=sharing,"is a popular South Korean dish made by stir-frying marinated diced chicken in a gochujang-based sauce with sweet potatoes, cabbage, perilla leaves, scallions, tteok (rice cake), and other ingredients.[2] In Korean, galbi means rib, and usually refers to braised or grilled short ribs. Dak-galbi is not made with chicken ribs, however, and the dish gained this nickname during the post-War era when chicken was used as a substitute for pork ribs. Many dak-galbi restaurants have round hot plates that are built into the tables. Lettuce and perilla leaves are served as ssam (wrap) vegetables.",https://www.youtube.com/watch?v=5rtOU0VTEgs,355,10,4,36
dipping noodles,https://drive.google.com/file/d/1-Iq57mWA9_d8uQOPcT8P1JkXVH72sDpp/view?usp=sharing,is a ramen dish in Japanese cuisine consisting of noodles that are eaten after being dipped in a separate bowl of soup or broth.,https://www.youtube.com/watch?v=fzVhilZrS1k,497,20,1,42
dish consisting of stir-fried potato andeggplant and green pepper,https://drive.google.com/file/d/1VN0yJt_EyluNrq9OoTBf5Plo9YUXe9EX/view?usp=sharing,"a dish with humblest ingredients yet irresistible savory flavor. It is a dish feed me as a northeast Chinese. To maximise the umami flavour of this plant-based dish, there are some tricks in the preparation. Head to the recipe and find out how I make it.",https://www.youtube.com/watch?v=uFxKxAlLCCc,445,6,1,57
dry curry,https://drive.google.com/file/d/14Z_UgtHjWcjzB3RywmdluaHY1iSZ8QWv/view?usp=sharing,"is a no-gravy version of Japanese curry rice made with ground meat and minced vegetables and often topped with a fried egg. This homestyle meal is flavorful, gently spiced, and savory with a hint of sweetness from raisins.",https://www.youtube.com/watch?v=UfInPrCeXQI,350,21,1,49
fine white noodles,https://drive.google.com/file/d/1oHwDWmf0tBC9uEbWO_5qPQOe2EqYuBUp/view?usp=sharing,They are made from wheat flour and are often deep-fried until crispy. Chow mein noodles are a popular ingredient in Chinese cuisine and are used in dishes such as chow mein and crispy noodle salad.,https://www.youtube.com/watch?v=KQW51v-BLio,444,23,3,37
fish ball soup,https://drive.google.com/file/d/10zNzmLIdvt4lVr3FY5j4cxjaQX-nDZpY/view?usp=sharing,is a nice tasting fish soup with scallions and bok choy. Minced fish fillet is made into a ball by adding tapioca starch and minced scallions. The first thing that needs to be done in preparing this fish ball soup recipe is the fish paste. The paste is the mixture of minced…,https://www.youtube.com/watch?v=0TUnQGGM_yg,297,18,5,66
fish-shaped pancake with bean jam,https://drive.google.com/file/d/1KHfoKFpw-zg8iv5qk5kEA9U3pMUIEDaA/view?usp=sharing," Japanese fish-shaped cake, commonly sold as street food. It imitates the shape of tai (鯛, red sea bream), which it is named after. The most common filling is red bean paste that is made from sweetened adzuki beans.",https://www.youtube.com/watch?v=rpeq6-NCgSs,232,17,10,50
french bread,https://drive.google.com/file/d/1chW5xrU0zoIX6NoXPdjmwGBOs8tqY_Nw/view?usp=sharing,"a yeast-raised bread made of dough containing water and distinguished by its thick, well-browned crust, usually made in long, slender, tapered loaves.",https://www.youtube.com/watch?v=FyIWJG5pxUk,278,2,3,64
french toast,https://drive.google.com/file/d/1M6AFOo9qw3R7X64vDpUhgVbj09yGSr2-/view?usp=sharing," is a dish of sliced bread soaked in beaten eggs and often milk or cream, then pan-fried. Alternative names and variants include eggy bread",https://www.youtube.com/watch?v=EARnchvnbVI,402,9,1,38
fried pork in scoop,https://drive.google.com/file/d/14M1AVnYwJI1WGMy4uGQqWYIULBQ5XCQP/view?usp=sharing,"is a main dish of northeastern cuisine. Fried pork in scoop is sour and sweet, mainly sour, the next sweet. The best vinegar used in the dish is rice vinegar with concentration at about 30 degrees. When cooking, the vinegar can not be mixed with water.",https://www.youtube.com/watch?v=c5uzUgJZ6Ak,315,19,7,56
fried shrimp,https://drive.google.com/file/d/1zvyS8Z3DbewFVcnuh1yVqW79pupURwit/view?usp=sharing,"Dip shrimp into beaten eggs, then press shrimp into bread crumbs, turning to coat both sides. Heat 2 inches oil in a large, heavy pot to 350 degrees F (175 degrees C). Deep-fry shrimp in batches in the hot oil until cooked through, about 1 minute. Use tongs to transfer shrimp to a paper towel-lined plate to drain",https://www.youtube.com/watch?v=8fGiHfNmZUs,361,25,8,44
goya chanpuru,https://drive.google.com/file/d/1ayCw4OCzc-LhgodzmGXkrlpnJOsLWEM1/view?usp=sharing,"is the quintessential chanpurū. It consists of gōyā (bitter melon), egg, tofu, and either Spam or thinly sliced pork. It often also includes vegetables such as carrots. Tofu chanpurū is tofu stir-fried with vegetables and Spam, bacon, thinly sliced pork belly, or canned tuna.",https://www.youtube.com/watch?v=bp-a5y8rY28,424,15,2,32
green curry,https://drive.google.com/file/d/1uHzYQ_PCZi46gfllj3shGw1JcM3wPrFz/view?usp=sharing,"is a popular Thai dish believed to have originated in the early 20th century (source). The flavor base is green curry paste, which is traditionally made from a combination of green chilies, shrimp paste, garlic, shallots, lemongrass, peppercorns, makrut limes, and cumin seeds (source).",https://www.youtube.com/watch?v=LIbKVpBQKJI,255,9,4,69
green salad,https://drive.google.com/file/d/1sOA3H81AN2gD-9YuFhH0k0zk9TzRJTme/view?usp=sharing,is a salad made mainly with lettuce and other green vegetables,https://www.youtube.com/watch?v=eIdtN7zw9QM,492,6,6,61
ham cutlet,https://drive.google.com/file/d/1blENGXKCO83LucFGY0514jFDOcYx-rqf/view?usp=sharing,"It's a deep-fried cutlet made with slices of ham that are coated with flour, egg, and Japanese panko, and deep-fried till golden color.",https://www.youtube.com/watch?v=NREaFXKndCM,445,3,4,52
hot dog,https://drive.google.com/file/d/1NZXBdwltVQOOXybWzcpd21jo9qGilpB1/view?usp=sharing,"s a dish consisting of a grilled, steamed, or boiled sausage served in the slit of a partially sliced bun.[3] The term hot dog can refer to the sausage itself",https://www.youtube.com/watch?v=XLdt9-veoVg,230,14,5,38
hot pot,https://drive.google.com/file/d/1G-_07z7uD4w1lc-oWqTSqlP_dKFYd5wx/view?usp=sharing," also known as steamboat, is a dish whereby a heat source placed on the dining table keeps a pot of soup stock simmering, and a variety",https://www.youtube.com/watch?v=SUO3nCS4q_o,232,8,2,30
inarizushi,https://drive.google.com/file/d/1mM_UYkuSYAVV8UcmlJMOqeXS2lO402cw/view?usp=sharing,"is a traditional sushi of vinegared rice tucked inside sweet and salty deep-fried tofu pockets. Known as Inarizushi in Japan, they are one of the easiest types of sushi to make at home and are beloved by children and adults alike.",https://www.youtube.com/watch?v=S5z3XGhIvFI,369,14,10,68
kamameshi,https://drive.google.com/file/d/1qMkrhiRCg2Nvfw5s8KEmAo0fTwOp1sN4/view?usp=sharing,"literally translates to ""kettle rice"" and is a traditional Japanese rice dish cooked in an iron pot called a kama. Kamameshi originally referred to rice that was eaten communally from the kama. Coworkers or family members either ate directly from the kama pot or by transferring the rice to individual bowls",https://www.youtube.com/watch?v=uOJUVqY4iFU,463,13,9,59
kinpira-style sauteed burdock,https://drive.google.com/file/d/16GjG2addYWlfnLvpkXQKn3KGlJM0CRtW/view?usp=sharing,"is a Japanese cooking method where thinly sliced vegetables, usually burdock (known as gobo) and carrot, are sautéed and simmered. The seasoning is usually a blend of soy sauce, sake, mirin, and dashi stock, with a sprinkling of raw sugar and a handful of chopped red chilli to amp up the flavour.",https://www.youtube.com/watch?v=x43Gk82Fw6k,389,14,1,33
kushikatu,https://drive.google.com/file/d/1V32_ZDoAPgZpwCYonGZzlp-7kPCRu_v3/view?usp=sharing,"also known as kushiage (串揚げ), is a Japanese dish of deep-fried skewered meat and vegetables.[1][2] In Japanese, kushi (串) refers to the skewers used[1] while katsu means a deep-fried cutlet of meat.",https://www.youtube.com/watch?v=U5EYNJPoEHA,490,14,6,61
lamb kebabs,https://drive.google.com/file/d/1h7E1hn__KF_jZ9dXJeoOI_ZGn-nGOmMM/view?usp=sharing,"In a large bowl combine lamb, scallions, onion powder, oregano, rosemary, garlic powder, cumin, thyme, salt and pepper, to taste. Form meat around skewers, making an oblong sausage shape pressing and securing firmly. Refrigerate 30 minutes",https://www.youtube.com/watch?v=vuEKuuV73zk,387,9,1,56
macaroni salad,https://drive.google.com/file/d/1jDXyV_U2DzLfFyhhxMHqzTQxw9dsf03R/view?usp=sharing,"Mix mayonnaise, sugar, vinegar, mustard, salt, pepper, and macaroni together in a large bowl. Stir in celery, onion, green pepper, carrot, and pimentos. Refrigerate salad for at least 4 hours before serving, but preferably overnight.",https://www.youtube.com/watch?v=jEo9VXYVrxs,259,10,6,34
mango pudding,https://drive.google.com/file/d/1tQAusYTfDWZO8dxt9XZiuWwcXccp6QAH/view?usp=sharing,"A classic Chinese dessert served at yum cha, sweet and silky smooth mango pudding topped with evaporated milk",https://www.youtube.com/watch?v=1mamxKOS16g,400,18,7,57
meat loaf,https://drive.google.com/file/d/19qo87JEEpS1Ujjr62Iby0fWur1gFpi6A/view?usp=sharing,"is a dish of ground meat that has been combined with other ingredients and formed into the shape of a loaf, then baked or smoked.",https://www.youtube.com/watch?v=CzUwqzSA1Gg,226,1,7,62
minced meat cutlet,https://drive.google.com/file/d/1zLkFo4E8WXlwh-Xw_I2pAGUN6MIKsIof/view?usp=sharing,"In the culinary arts, the term cutlet is used to refer to a boneless, thin cut of meat—chicken, veal, pork, or lamb—that cooks very quickly and is usually pan-fried. Most cutlets are made by pounding the meat until there's even thinness and are often dusted with flour or coated in breadcrumbs before cooking.",https://www.youtube.com/watch?v=427Mhyo210k,477,17,6,59
minced pork rice,https://drive.google.com/file/d/1RSz1PhAzhQ0f6WF7djdhGk4IGS8deFHE/view?usp=sharing," is cooked with garlic, onions, and seasoning to make a savory and sweet sauce. Serve with white rice and fried egg for a delicious meal!",https://www.youtube.com/watch?v=m5_AUi8KFpQ,328,8,2,70
minestrone,https://drive.google.com/file/d/1dYOd4mbhG91KYwGeOSgb89seX8EGdLBk/view?usp=sharing,"is a thick soup of Italian origin made with meats, vegetables, and pasta. Ingredients include beans, onions, celery, carrots, leaf vegetables",https://www.youtube.com/watch?v=TTvBfBHa1qQ,255,25,10,30
moon cake,https://drive.google.com/file/d/1io-KEBapauVuO-zYwjXKqTiO1MwrSYNO/view?usp=sharing,is a Chinese bakery product traditionally eaten during the Mid-Autumn Festival (中秋節). The festival is primarily about the harvest,https://www.youtube.com/watch?v=Zvefr5F7RJU,367,21,7,45
mozuku,https://drive.google.com/file/d/1YRXSuDcJo2UtRiwcWMKF1Cm6Ub39LhHy/view?usp=sharing,"is a collective term for various types of Japanese brown algae from the family Chordariaceae, which are used as food. These include ito-mozuku ",https://www.youtube.com/watch?v=OgJdF3F4F_4,408,22,9,55
mushroom risotto,https://drive.google.com/file/d/1pfPFF4d8LESjZUfSgs7QqYp18M3LKSkg/view?usp=sharing,"For this mushroom risotto, mushrooms are sautéed first, then cooked in brandy (or vermouth). Arborio (or any other kind of risotto rice) is cooked slowly with stock and when done, you stir in some freshly grated Parmesan cheese",https://www.youtube.com/watch?v=04jW_H8gsoU,270,16,9,64
nachos,https://drive.google.com/file/d/1JJ3poMvi7CeS9mAYKYp8LJiFHVLdy4y6/view?usp=sharing,"are a Tex-Mex culinary dish consisting of tortilla chips or totopos covered with cheese or cheese sauce, as well as a variety of other toppings",https://www.youtube.com/watch?v=tMq_f0uHVv0,499,19,4,52
namero,https://drive.google.com/file/d/1U3S9g8Pk781-Cu4KsEXPQ9uymhs5WWcY/view?usp=sharing,"is a type of tataki, a manner of preparing fish or meat finely minced and mixed with some spices and seasonings, not unlike a tartare",https://www.youtube.com/watch?v=z5B2Nk5_t6g,291,3,4,38
omelet with fried rice,https://drive.google.com/file/d/1EkMGSDT8ktrnp4u8Xole61rF7JOYRdyD/view?usp=sharing," is a Japanese word for ""omelet and rice"" and is an omelet wrapped around fried rice and topped with ketchup--a perfect example of Western influence on Japanese cuisine. In Japan, you will find omurice cooked at home and served at Western-style diners.",https://www.youtube.com/watch?v=q_nosb-2mX4,322,14,4,64
oyster omelette,https://drive.google.com/file/d/1PQ93-hvTuWbYS_HlHHpStQyuezj_jaKS/view?usp=sharing,"is a dish of Min Nan (Hokkien and Teochew) origin that is renowned for its savory flavor in its native Minnan region and Chaoshan, along with Taiwan and many parts of Southeast Asia, such as Philippines, Thailand, Malaysia or Singapore, due to the influence of the Hokkien and Teochew diaspora.",https://www.youtube.com/watch?v=PdGlHNaiNdI,261,21,9,39
paella,https://drive.google.com/file/d/1M3QtpL2Rf9dGij20KbfNseyk6HjAUx6Q/view?usp=sharing,"is the traditional paella of the Valencia region, believed to be the original recipe, and consists of round-grain rice, bajoqueta and tavella ",https://www.youtube.com/watch?v=21NECl64HKE,416,21,7,54
pancake,https://drive.google.com/file/d/1bweESGmKYZkhcTbGbwzROHPiO84HUVWt/view?usp=sharing,"is a flat cake, often thin and round, prepared from a starch-based batter that may contain eggs, milk and butter, and then cooked on a hot surface",https://www.youtube.com/watch?v=zuF7nHtPC4g,260,6,3,47
pizza toast,https://drive.google.com/file/d/1xVu2erXp7HweE_FmzY7EdmZ3GKmbc2iV/view?usp=sharing,"can be as simple as pizza sauce, cheese and pepperoni on slices of bread or it can be decked out with fresh mozzarella cheese, basil leaves, slices of tomato and a drizzle of pesto. Serve it as a weekday meal, easy lunch or the ultimate after-school snack.",https://www.youtube.com/watch?v=XXgBsVCsKUg,357,21,6,43
pork belly,https://drive.google.com/file/d/1GjT9r5g48TSq1SPB6sKri1e31XbWO14O/view?usp=sharing,"t's meaty, and it's hearty. When kept whole, pork belly has an incredibly rich flavor thanks to the thick layer of fat that runs along the top. When cured and smoked, it's packed with the irresistible umami flavor that makes bacon so tempting.",https://www.youtube.com/watch?v=yExjvqP58Ek,268,3,2,36
pork cutlet,https://drive.google.com/file/d/1yI7eoIyRMGiOWFCLdCRJPgHXUS9C0Ol0/view?usp=sharing,"confused with the similar sounding 'cutlet' in chicken, is a specific type of cut from the pig. This boneless cut of meat is typically taken from the loin or the hind leg section. After removing any thick layer of fat, the pork is often pounded flat with a meat mallet to make thin pork cutlets.",https://www.youtube.com/watch?v=JrWwFIdsWXg,427,3,3,37
pork fillet cutlet,https://drive.google.com/file/d/1U8REvF9GCYA-ByU3hoRue-Cw7LGrPkiN/view?usp=sharing,"are cut from the loin of the pig, which is why they are also known as pork loin cutlets. This cut of pork is lean and boneless, making it easy to prepare and add to your favorite pork recipes.",https://www.youtube.com/watch?v=pdqEg2QS2v4,422,25,3,32
pork loin cutlet,https://drive.google.com/file/d/1jP27mTu52awYn29MJmUI7QlyjQ6v87V7/view?usp=sharing,"are cut from the loin of the pig, which is why they are also known as pork loin cutlets. This cut of pork is lean and boneless, making it easy to prepare and add to your favorite pork recipes.",https://www.youtube.com/watch?v=pdqEg2QS2v4,456,23,5,52
pork miso soup,https://drive.google.com/file/d/1vDhpMsj1zqTG44tPpxlU9fVdjIi0VJB7/view?usp=sharing,"is a classic winter dish of slowly stewed slices of pork mixed with vegetables and served in a dashi and miso flavoured soup broth. A popular recipe all over Japan due to being quick, easy, versatile, and delicious, this soup is bound to become a favourite in your household as well.",https://www.youtube.com/watch?v=T2X98AlDErs,201,17,6,59
pot au feu,https://drive.google.com/file/d/1TdVqqR4rbwU9ktNMV8NEXsinKtHNoShI/view?usp=sharing," is a French dish of slowly boiled meat and vegetables, usually served as two courses: first the broth (bouillon) and then the meat (bouilli) and vegetables. The dish is familiar throughout France and has many regional variations. The best-known have beef as the main meat, but pork, chicken, and sausage are also used",https://www.youtube.com/watch?v=QNh_KMM3I6Q,434,5,2,70
potato salad,https://drive.google.com/file/d/1Kd3QDurH4UBEtwODJHaEMu1K7L2Ys1ly/view?usp=sharing,"is a salad dish made from boiled potatoes, usually containing a dressing and a variety of other ingredients such as boiled eggs and raw",https://www.youtube.com/watch?v=2Qzf0gyu6Qo,395,10,8,53
rare cheese cake,https://drive.google.com/file/d/1fXWipD5OdUY_UknD1Sktvysz0huwOkdM/view?usp=sharing,"is a soft type of cheesecake and usually, gelatin is used to harden the filling. Rare cheesecakes are chilled and served with fresh fruits or fruit sauces.",https://www.youtube.com/watch?v=3WJ0qAANayA,353,21,9,55
